Using kernels flash-attn2 (compute capability (12, 0))
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 20,972,032
  scalars                 : 16
  total                   : 46,137,872
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011469 | lrm: 1.00 | dt: 5565ms | tok/sec: 23,551 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.883111 | lrm: 1.00 | dt: 286ms | tok/sec: 457,848 | mfu: 9.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.554588 | lrm: 1.00 | dt: 293ms | tok/sec: 448,002 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.137233 | lrm: 1.00 | dt: 274ms | tok/sec: 477,635 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.755521 | lrm: 1.00 | dt: 282ms | tok/sec: 464,158 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.441248 | lrm: 1.00 | dt: 293ms | tok/sec: 447,690 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.192334 | lrm: 1.00 | dt: 296ms | tok/sec: 442,746 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.984615 | lrm: 1.00 | dt: 275ms | tok/sec: 476,274 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.810339 | lrm: 1.00 | dt: 284ms | tok/sec: 460,943 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.662765 | lrm: 1.00 | dt: 289ms | tok/sec: 454,195 | mfu: 9.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.534300 | lrm: 1.00 | dt: 296ms | tok/sec: 443,499 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.419629 | lrm: 1.00 | dt: 275ms | tok/sec: 476,104 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.324908 | lrm: 1.00 | dt: 284ms | tok/sec: 460,769 | mfu: 10.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.240835 | lrm: 1.00 | dt: 289ms | tok/sec: 454,303 | mfu: 9.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.164041 | lrm: 1.00 | dt: 296ms | tok/sec: 443,397 | mfu: 9.6% | epoch: 1 | remaining: 299s    
step 00471 (43.6%) | loss: 3.339467 | lrm: 1.00 | dt: 266ms | tok/sec: 493,528 | mfu: 10.7% | epoch: 1 | remaining: 169s    
step 00472 (43.7%) | loss: 3.347049 | lrm: 1.00 | dt: 266ms | tok/sec: 492,940 | mfu: 10.7% | epoch: 1 | remaining: 169s    
step 00473 (43.8%) | loss: 3.345753 | lrm: 1.00 | dt: 267ms | tok/sec: 491,564 | mfu: 10.6% | epoch: 1 | remaining: 168s    
step 00474 (43.9%) | loss: 3.347660 | lrm: 1.00 | dt: 267ms | tok/sec: 491,658 | mfu: 10.6% | epoch: 1 | remaining: 168s    
step 00475 (44.0%) | loss: 3.345862 | lrm: 1.00 | dt: 267ms | tok/sec: 490,052 | mfu: 10.6% | epoch: 1 | remaining: 168s    
step 00476 (44.1%) | loss: 3.338508 | lrm: 1.00 | dt: 267ms | tok/sec: 491,296 | mfu: 10.6% | epoch: 1 | remaining: 168s    
step 00477 (44.1%) | loss: 3.336757 | lrm: 1.00 | dt: 266ms | tok/sec: 492,352 | mfu: 10.6% | epoch: 1 | remaining: 167s    
step 00478 (44.2%) | loss: 3.331109 | lrm: 1.00 | dt: 266ms | tok/sec: 491,961 | mfu: 10.6% | epoch: 1 | remaining: 167s    
step 00479 (44.3%) | loss: 3.331912 | lrm: 1.00 | dt: 266ms | tok/sec: 492,423 | mfu: 10.6% | epoch: 1 | remaining: 167s    
step 00480 (44.4%) | loss: 3.330032 | lrm: 1.00 | dt: 267ms | tok/sec: 491,616 | mfu: 10.6% | epoch: 1 | remaining: 167s    
step 00481 (44.5%) | loss: 3.333331 | lrm: 1.00 | dt: 267ms | tok/sec: 491,803 | mfu: 10.6% | epoch: 1 | remaining: 166s    
step 00482 (44.6%) | loss: 3.332766 | lrm: 1.00 | dt: 267ms | tok/sec: 491,328 | mfu: 10.6% | epoch: 1 | remaining: 166s    
step 00483 (44.7%) | loss: 3.333644 | lrm: 1.00 | dt: 265ms | tok/sec: 494,523 | mfu: 10.7% | epoch: 1 | remaining: 166s    
step 00484 (44.8%) | loss: 3.334787 | lrm: 1.00 | dt: 253ms | tok/sec: 518,234 | mfu: 11.2% | epoch: 1 | remaining: 165s    
step 00485 (44.8%) | loss: 3.336620 | lrm: 1.00 | dt: 263ms | tok/sec: 498,492 | mfu: 10.8% | epoch: 1 | remaining: 165s    
step 00486 (44.9%) | loss: 3.331441 | lrm: 1.00 | dt: 265ms | tok/sec: 494,808 | mfu: 10.7% | epoch: 1 | remaining: 165s    
step 00487 (45.0%) | loss: 3.327923 | lrm: 1.00 | dt: 266ms | tok/sec: 493,295 | mfu: 10.7% | epoch: 1 | remaining: 165s    
step 00488 (45.1%) | loss: 3.323797 | lrm: 1.00 | dt: 266ms | tok/sec: 492,621 | mfu: 10.6% | epoch: 1 | remaining: 164s    
step 00489 (45.2%) | loss: 3.309995 | lrm: 1.00 | dt: 266ms | tok/sec: 492,270 | mfu: 10.6% | epoch: 1 | remaining: 164s    
step 00490 (45.3%) | loss: 3.301078 | lrm: 1.00 | dt: 267ms | tok/sec: 491,670 | mfu: 10.6% | epoch: 1 | remaining: 164s    
step 00491 (45.4%) | loss: 3.299215 | lrm: 1.00 | dt: 266ms | tok/sec: 492,611 | mfu: 10.6% | epoch: 1 | remaining: 164s    
step 00492 (45.5%) | loss: 3.297435 | lrm: 1.00 | dt: 266ms | tok/sec: 493,058 | mfu: 10.7% | epoch: 1 | remaining: 163s    
step 00493 (45.6%) | loss: 3.298509 | lrm: 1.00 | dt: 266ms | tok/sec: 492,343 | mfu: 10.6% | epoch: 1 | remaining: 163s    
step 00494 (45.6%) | loss: 3.295987 | lrm: 1.00 | dt: 266ms | tok/sec: 491,885 | mfu: 10.6% | epoch: 1 | remaining: 163s    
step 00495 (45.7%) | loss: 3.299813 | lrm: 1.00 | dt: 261ms | tok/sec: 501,471 | mfu: 10.8% | epoch: 1 | remaining: 163s    
step 00496 (45.8%) | loss: 3.298704 | lrm: 1.00 | dt: 255ms | tok/sec: 513,730 | mfu: 11.1% | epoch: 1 | remaining: 162s    
step 00497 (45.9%) | loss: 3.301754 | lrm: 1.00 | dt: 265ms | tok/sec: 494,958 | mfu: 10.7% | epoch: 1 | remaining: 162s    
step 00498 (46.0%) | loss: 3.306656 | lrm: 1.00 | dt: 265ms | tok/sec: 494,625 | mfu: 10.7% | epoch: 1 | remaining: 162s    
step 00499 (46.1%) | loss: 3.309708 | lrm: 1.00 | dt: 266ms | tok/sec: 492,884 | mfu: 10.7% | epoch: 1 | remaining: 161s    
step 00500 (46.2%) | loss: 3.311803 | lrm: 1.00 | dt: 266ms | tok/sec: 492,719 | mfu: 10.7% | epoch: 1 | remaining: 161s    
step 00501 (46.3%) | loss: 3.311430 | lrm: 1.00 | dt: 266ms | tok/sec: 492,252 | mfu: 10.6% | epoch: 1 | remaining: 161s    
step 00502 (46.3%) | loss: 3.312098 | lrm: 1.00 | dt: 266ms | tok/sec: 492,631 | mfu: 10.6% | epoch: 1 | remaining: 161s    
step 00503 (46.4%) | loss: 3.313439 | lrm: 1.00 | dt: 266ms | tok/sec: 492,169 | mfu: 10.6% | epoch: 1 | remaining: 160s    
step 00504 (46.5%) | loss: 3.307369 | lrm: 1.00 | dt: 266ms | tok/sec: 492,051 | mfu: 10.6% | epoch: 1 | remaining: 160s    
step 00505 (46.6%) | loss: 3.304934 | lrm: 1.00 | dt: 267ms | tok/sec: 491,531 | mfu: 10.6% | epoch: 1 | remaining: 160s    
step 00506 (46.7%) | loss: 3.303346 | lrm: 1.00 | dt: 267ms | tok/sec: 491,629 | mfu: 10.6% | epoch: 1 | remaining: 160s    
step 00507 (46.8%) | loss: 3.304167 | lrm: 1.00 | dt: 267ms | tok/sec: 491,776 | mfu: 10.6% | epoch: 1 | remaining: 159s    
step 00508 (46.9%) | loss: 3.301487 | lrm: 1.00 | dt: 263ms | tok/sec: 498,006 | mfu: 10.8% | epoch: 1 | remaining: 159s    
step 00509 (47.0%) | loss: 3.298620 | lrm: 1.00 | dt: 254ms | tok/sec: 516,657 | mfu: 11.2% | epoch: 1 | remaining: 159s    
step 00510 (47.1%) | loss: 3.304015 | lrm: 1.00 | dt: 264ms | tok/sec: 495,873 | mfu: 10.7% | epoch: 1 | remaining: 159s    
step 00511 (47.1%) | loss: 3.305649 | lrm: 1.00 | dt: 265ms | tok/sec: 494,167 | mfu: 10.7% | epoch: 1 | remaining: 158s    
step 00512 (47.2%) | loss: 3.301490 | lrm: 1.00 | dt: 266ms | tok/sec: 493,583 | mfu: 10.7% | epoch: 1 | remaining: 158s    
step 00513 (47.3%) | loss: 3.295842 | lrm: 1.00 | dt: 267ms | tok/sec: 490,859 | mfu: 10.6% | epoch: 1 | remaining: 158s    
step 00514 (47.4%) | loss: 3.296425 | lrm: 1.00 | dt: 266ms | tok/sec: 492,555 | mfu: 10.6% | epoch: 1 | remaining: 158s    
step 00515 (47.5%) | loss: 3.293777 | lrm: 1.00 | dt: 266ms | tok/sec: 492,613 | mfu: 10.6% | epoch: 1 | remaining: 157s    
step 00516 (47.6%) | loss: 3.295660 | lrm: 1.00 | dt: 266ms | tok/sec: 492,812 | mfu: 10.7% | epoch: 1 | remaining: 157s    
step 00517 (47.7%) | loss: 3.298839 | lrm: 1.00 | dt: 266ms | tok/sec: 491,951 | mfu: 10.6% | epoch: 1 | remaining: 157s    
step 00518 (47.8%) | loss: 3.294397 | lrm: 1.00 | dt: 265ms | tok/sec: 494,150 | mfu: 10.7% | epoch: 1 | remaining: 156s    
step 00519 (47.9%) | loss: 3.294529 | lrm: 1.00 | dt: 252ms | tok/sec: 519,370 | mfu: 11.2% | epoch: 1 | remaining: 156s    
step 00520 (47.9%) | loss: 3.290014 | lrm: 1.00 | dt: 263ms | tok/sec: 499,117 | mfu: 10.8% | epoch: 1 | remaining: 156s    
step 00521 (48.0%) | loss: 3.290737 | lrm: 1.00 | dt: 265ms | tok/sec: 494,760 | mfu: 10.7% | epoch: 1 | remaining: 156s    
step 00522 (48.1%) | loss: 3.292348 | lrm: 1.00 | dt: 266ms | tok/sec: 492,813 | mfu: 10.7% | epoch: 1 | remaining: 155s    
step 00523 (48.2%) | loss: 3.290419 | lrm: 1.00 | dt: 267ms | tok/sec: 491,506 | mfu: 10.6% | epoch: 1 | remaining: 155s    
step 00524 (48.3%) | loss: 3.294330 | lrm: 1.00 | dt: 267ms | tok/sec: 491,725 | mfu: 10.6% | epoch: 1 | remaining: 155s    
step 00525 (48.4%) | loss: 3.292656 | lrm: 1.00 | dt: 266ms | tok/sec: 492,765 | mfu: 10.7% | epoch: 1 | remaining: 155s    
step 00526 (48.5%) | loss: 3.290861 | lrm: 1.00 | dt: 267ms | tok/sec: 491,716 | mfu: 10.6% | epoch: 1 | remaining: 154s    
step 00527 (48.6%) | loss: 3.291265 | lrm: 1.00 | dt: 266ms | tok/sec: 492,302 | mfu: 10.6% | epoch: 1 | remaining: 154s    
step 00528 (48.6%) | loss: 3.286686 | lrm: 1.00 | dt: 266ms | tok/sec: 492,039 | mfu: 10.6% | epoch: 1 | remaining: 154s    
step 00529 (48.7%) | loss: 3.289472 | lrm: 1.00 | dt: 266ms | tok/sec: 492,977 | mfu: 10.7% | epoch: 1 | remaining: 154s    
step 00530 (48.8%) | loss: 3.289611 | lrm: 1.00 | dt: 267ms | tok/sec: 491,516 | mfu: 10.6% | epoch: 1 | remaining: 153s    
step 00531 (48.9%) | loss: 3.289028 | lrm: 1.00 | dt: 261ms | tok/sec: 502,792 | mfu: 10.9% | epoch: 1 | remaining: 153s    
step 00532 (49.0%) | loss: 3.289429 | lrm: 1.00 | dt: 254ms | tok/sec: 515,268 | mfu: 11.1% | epoch: 1 | remaining: 153s    
step 00533 (49.1%) | loss: 3.284778 | lrm: 1.00 | dt: 264ms | tok/sec: 496,327 | mfu: 10.7% | epoch: 1 | remaining: 152s    
step 00534 (49.2%) | loss: 3.291264 | lrm: 1.00 | dt: 265ms | tok/sec: 494,648 | mfu: 10.7% | epoch: 1 | remaining: 152s    
step 00535 (49.3%) | loss: 3.281829 | lrm: 1.00 | dt: 265ms | tok/sec: 493,770 | mfu: 10.7% | epoch: 1 | remaining: 152s    
step 00536 (49.3%) | loss: 3.283535 | lrm: 1.00 | dt: 266ms | tok/sec: 493,362 | mfu: 10.7% | epoch: 1 | remaining: 152s    
step 00537 (49.4%) | loss: 3.289305 | lrm: 1.00 | dt: 266ms | tok/sec: 493,003 | mfu: 10.7% | epoch: 1 | remaining: 151s    
step 00538 (49.5%) | loss: 3.290069 | lrm: 1.00 | dt: 261ms | tok/sec: 502,602 | mfu: 10.9% | epoch: 1 | remaining: 151s    
step 00539 (49.6%) | loss: 3.286459 | lrm: 1.00 | dt: 254ms | tok/sec: 515,531 | mfu: 11.1% | epoch: 1 | remaining: 151s    
step 00540 (49.7%) | loss: 3.278885 | lrm: 1.00 | dt: 264ms | tok/sec: 495,612 | mfu: 10.7% | epoch: 1 | remaining: 151s    
step 00541 (49.8%) | loss: 3.275841 | lrm: 1.00 | dt: 265ms | tok/sec: 494,511 | mfu: 10.7% | epoch: 1 | remaining: 150s    
step 00542 (49.9%) | loss: 3.279535 | lrm: 1.00 | dt: 266ms | tok/sec: 493,227 | mfu: 10.7% | epoch: 1 | remaining: 150s    
step 00543 (50.0%) | loss: 3.281070 | lrm: 1.00 | dt: 266ms | tok/sec: 492,224 | mfu: 10.6% | epoch: 1 | remaining: 150s    
step 00544 (50.0%) | loss: 3.271873 | lrm: 1.00 | dt: 267ms | tok/sec: 491,753 | mfu: 10.6% | epoch: 1 | remaining: 150s    
step 00545 (50.1%) | loss: 3.276855 | lrm: 1.00 | dt: 266ms | tok/sec: 491,871 | mfu: 10.6% | epoch: 1 | remaining: 149s    
step 00546 (50.2%) | loss: 3.279319 | lrm: 1.00 | dt: 266ms | tok/sec: 492,292 | mfu: 10.6% | epoch: 1 | remaining: 149s    
step 00547 (50.3%) | loss: 3.272112 | lrm: 1.00 | dt: 266ms | tok/sec: 492,363 | mfu: 10.6% | epoch: 1 | remaining: 149s    
step 00548 (50.4%) | loss: 3.273366 | lrm: 1.00 | dt: 266ms | tok/sec: 492,056 | mfu: 10.6% | epoch: 1 | remaining: 149s    
step 00549 (50.5%) | loss: 3.263499 | lrm: 1.00 | dt: 266ms | tok/sec: 493,103 | mfu: 10.7% | epoch: 1 | remaining: 148s    
step 00550 (50.6%) | loss: 3.261325 | lrm: 1.00 | dt: 266ms | tok/sec: 492,340 | mfu: 10.6% | epoch: 1 | remaining: 148s    
step 00551 (50.7%) | loss: 3.268299 | lrm: 1.00 | dt: 263ms | tok/sec: 497,693 | mfu: 10.8% | epoch: 1 | remaining: 148s    
step 00552 (50.8%) | loss: 3.264390 | lrm: 1.00 | dt: 253ms | tok/sec: 517,391 | mfu: 11.2% | epoch: 1 | remaining: 147s    
step 00553 (50.8%) | loss: 3.266740 | lrm: 1.00 | dt: 264ms | tok/sec: 496,813 | mfu: 10.7% | epoch: 1 | remaining: 147s    
step 00554 (50.9%) | loss: 3.258576 | lrm: 1.00 | dt: 266ms | tok/sec: 493,378 | mfu: 10.7% | epoch: 1 | remaining: 147s    
step 00555 (51.0%) | loss: 3.258972 | lrm: 1.00 | dt: 266ms | tok/sec: 493,307 | mfu: 10.7% | epoch: 1 | remaining: 147s    
step 00556 (51.1%) | loss: 3.264163 | lrm: 1.00 | dt: 266ms | tok/sec: 492,725 | mfu: 10.7% | epoch: 1 | remaining: 146s    
step 00557 (51.2%) | loss: 3.270168 | lrm: 1.00 | dt: 266ms | tok/sec: 492,812 | mfu: 10.7% | epoch: 1 | remaining: 146s    
step 00558 (51.3%) | loss: 3.262056 | lrm: 1.00 | dt: 267ms | tok/sec: 491,798 | mfu: 10.6% | epoch: 1 | remaining: 146s    
step 00559 (51.4%) | loss: 3.261244 | lrm: 1.00 | dt: 267ms | tok/sec: 491,425 | mfu: 10.6% | epoch: 1 | remaining: 146s    
step 00560 (51.5%) | loss: 3.253872 | lrm: 1.00 | dt: 266ms | tok/sec: 492,839 | mfu: 10.7% | epoch: 1 | remaining: 145s    
step 00561 (51.6%) | loss: 3.251604 | lrm: 1.00 | dt: 261ms | tok/sec: 501,352 | mfu: 10.8% | epoch: 1 | remaining: 145s    
step 00562 (51.6%) | loss: 3.249670 | lrm: 1.00 | dt: 255ms | tok/sec: 514,227 | mfu: 11.1% | epoch: 1 | remaining: 145s    
step 00563 (51.7%) | loss: 3.251490 | lrm: 1.00 | dt: 264ms | tok/sec: 495,579 | mfu: 10.7% | epoch: 1 | remaining: 145s    
step 00564 (51.8%) | loss: 3.248916 | lrm: 1.00 | dt: 264ms | tok/sec: 495,776 | mfu: 10.7% | epoch: 1 | remaining: 144s    
step 00565 (51.9%) | loss: 3.246304 | lrm: 1.00 | dt: 266ms | tok/sec: 492,325 | mfu: 10.6% | epoch: 1 | remaining: 144s    
step 00566 (52.0%) | loss: 3.249349 | lrm: 1.00 | dt: 266ms | tok/sec: 492,112 | mfu: 10.6% | epoch: 1 | remaining: 144s    
step 00567 (52.1%) | loss: 3.246108 | lrm: 1.00 | dt: 261ms | tok/sec: 501,292 | mfu: 10.8% | epoch: 1 | remaining: 144s    
step 00568 (52.2%) | loss: 3.248427 | lrm: 1.00 | dt: 255ms | tok/sec: 513,795 | mfu: 11.1% | epoch: 1 | remaining: 143s    
step 00569 (52.3%) | loss: 3.248403 | lrm: 1.00 | dt: 265ms | tok/sec: 495,501 | mfu: 10.7% | epoch: 1 | remaining: 143s    
step 00570 (52.3%) | loss: 3.248861 | lrm: 1.00 | dt: 265ms | tok/sec: 494,478 | mfu: 10.7% | epoch: 1 | remaining: 143s    
step 00571 (52.4%) | loss: 3.253836 | lrm: 1.00 | dt: 266ms | tok/sec: 493,135 | mfu: 10.7% | epoch: 1 | remaining: 142s    
step 00572 (52.5%) | loss: 3.254882 | lrm: 1.00 | dt: 267ms | tok/sec: 490,906 | mfu: 10.6% | epoch: 1 | remaining: 142s    
step 00573 (52.6%) | loss: 3.255154 | lrm: 1.00 | dt: 266ms | tok/sec: 492,499 | mfu: 10.6% | epoch: 1 | remaining: 142s    
step 00574 (52.7%) | loss: 3.257189 | lrm: 1.00 | dt: 266ms | tok/sec: 492,924 | mfu: 10.7% | epoch: 1 | remaining: 142s    
step 00575 (52.8%) | loss: 3.258703 | lrm: 1.00 | dt: 263ms | tok/sec: 497,833 | mfu: 10.8% | epoch: 1 | remaining: 141s    
step 00576 (52.9%) | loss: 3.260316 | lrm: 1.00 | dt: 254ms | tok/sec: 516,419 | mfu: 11.2% | epoch: 1 | remaining: 141s    
step 00577 (53.0%) | loss: 3.252689 | lrm: 1.00 | dt: 264ms | tok/sec: 496,057 | mfu: 10.7% | epoch: 1 | remaining: 141s    
step 00578 (53.0%) | loss: 3.254228 | lrm: 1.00 | dt: 265ms | tok/sec: 494,693 | mfu: 10.7% | epoch: 1 | remaining: 141s    
step 00579 (53.1%) | loss: 3.249932 | lrm: 1.00 | dt: 266ms | tok/sec: 493,649 | mfu: 10.7% | epoch: 1 | remaining: 140s    
step 00580 (53.2%) | loss: 3.263174 | lrm: 1.00 | dt: 266ms | tok/sec: 492,739 | mfu: 10.7% | epoch: 1 | remaining: 140s    
step 00581 (53.3%) | loss: 3.263560 | lrm: 1.00 | dt: 267ms | tok/sec: 491,524 | mfu: 10.6% | epoch: 1 | remaining: 140s    
step 00582 (53.4%) | loss: 3.261854 | lrm: 1.00 | dt: 267ms | tok/sec: 491,676 | mfu: 10.6% | epoch: 1 | remaining: 140s    
step 00583 (53.5%) | loss: 3.264174 | lrm: 1.00 | dt: 266ms | tok/sec: 492,923 | mfu: 10.7% | epoch: 1 | remaining: 139s    
step 00584 (53.6%) | loss: 3.262506 | lrm: 1.00 | dt: 259ms | tok/sec: 506,508 | mfu: 10.9% | epoch: 1 | remaining: 139s    
step 00585 (53.7%) | loss: 3.260278 | lrm: 1.00 | dt: 258ms | tok/sec: 508,646 | mfu: 11.0% | epoch: 1 | remaining: 139s    
step 00586 (53.7%) | loss: 3.262355 | lrm: 1.00 | dt: 264ms | tok/sec: 495,554 | mfu: 10.7% | epoch: 1 | remaining: 138s    
step 00587 (53.8%) | loss: 3.262329 | lrm: 1.00 | dt: 264ms | tok/sec: 495,960 | mfu: 10.7% | epoch: 1 | remaining: 138s    
step 00588 (53.9%) | loss: 3.263681 | lrm: 1.00 | dt: 266ms | tok/sec: 492,571 | mfu: 10.6% | epoch: 1 | remaining: 138s    
step 00589 (54.0%) | loss: 3.258356 | lrm: 1.00 | dt: 266ms | tok/sec: 492,155 | mfu: 10.6% | epoch: 1 | remaining: 138s    
step 00590 (54.1%) | loss: 3.259615 | lrm: 1.00 | dt: 266ms | tok/sec: 493,200 | mfu: 10.7% | epoch: 1 | remaining: 137s    
step 00591 (54.2%) | loss: 3.264983 | lrm: 1.00 | dt: 260ms | tok/sec: 503,719 | mfu: 10.9% | epoch: 1 | remaining: 137s    
step 00592 (54.3%) | loss: 3.264447 | lrm: 1.00 | dt: 254ms | tok/sec: 515,102 | mfu: 11.1% | epoch: 1 | remaining: 137s    
step 00593 (54.4%) | loss: 3.267703 | lrm: 1.00 | dt: 264ms | tok/sec: 496,840 | mfu: 10.7% | epoch: 1 | remaining: 137s    
step 00594 (54.4%) | loss: 3.268640 | lrm: 1.00 | dt: 264ms | tok/sec: 495,934 | mfu: 10.7% | epoch: 1 | remaining: 136s    
step 00595 (54.5%) | loss: 3.273553 | lrm: 1.00 | dt: 266ms | tok/sec: 492,703 | mfu: 10.7% | epoch: 1 | remaining: 136s    
step 00596 (54.6%) | loss: 3.267679 | lrm: 1.00 | dt: 266ms | tok/sec: 492,724 | mfu: 10.7% | epoch: 1 | remaining: 136s    
step 00597 (54.7%) | loss: 3.263246 | lrm: 1.00 | dt: 266ms | tok/sec: 492,557 | mfu: 10.6% | epoch: 1 | remaining: 136s    
step 00598 (54.8%) | loss: 3.263558 | lrm: 1.00 | dt: 266ms | tok/sec: 492,929 | mfu: 10.7% | epoch: 1 | remaining: 135s    
step 00599 (54.9%) | loss: 3.263967 | lrm: 1.00 | dt: 266ms | tok/sec: 492,500 | mfu: 10.6% | epoch: 1 | remaining: 135s    
step 00600 (55.0%) | loss: 3.253394 | lrm: 1.00 | dt: 266ms | tok/sec: 493,251 | mfu: 10.7% | epoch: 1 | remaining: 135s    
step 00601 (55.1%) | loss: 3.248781 | lrm: 1.00 | dt: 266ms | tok/sec: 492,101 | mfu: 10.6% | epoch: 1 | remaining: 135s    
step 00602 (55.2%) | loss: 3.246793 | lrm: 1.00 | dt: 265ms | tok/sec: 494,084 | mfu: 10.7% | epoch: 1 | remaining: 134s    
step 00603 (55.2%) | loss: 3.241657 | lrm: 0.99 | dt: 266ms | tok/sec: 491,939 | mfu: 10.6% | epoch: 1 | remaining: 134s    
step 00604 (55.3%) | loss: 3.238883 | lrm: 0.99 | dt: 266ms | tok/sec: 493,523 | mfu: 10.7% | epoch: 1 | remaining: 134s    
step 00605 (55.4%) | loss: 3.243085 | lrm: 0.99 | dt: 266ms | tok/sec: 492,806 | mfu: 10.7% | epoch: 1 | remaining: 133s    
step 00606 (55.5%) | loss: 3.246790 | lrm: 0.99 | dt: 266ms | tok/sec: 492,857 | mfu: 10.7% | epoch: 1 | remaining: 133s    
step 00607 (55.6%) | loss: 3.245280 | lrm: 0.99 | dt: 266ms | tok/sec: 493,382 | mfu: 10.7% | epoch: 1 | remaining: 133s    
step 00608 (55.7%) | loss: 3.244966 | lrm: 0.98 | dt: 266ms | tok/sec: 492,986 | mfu: 10.7% | epoch: 1 | remaining: 133s    
step 00609 (55.8%) | loss: 3.249173 | lrm: 0.98 | dt: 265ms | tok/sec: 494,857 | mfu: 10.7% | epoch: 1 | remaining: 132s    
step 00610 (55.9%) | loss: 3.244548 | lrm: 0.98 | dt: 253ms | tok/sec: 518,542 | mfu: 11.2% | epoch: 1 | remaining: 132s    
step 00611 (55.9%) | loss: 3.247947 | lrm: 0.98 | dt: 262ms | tok/sec: 499,375 | mfu: 10.8% | epoch: 1 | remaining: 132s    
step 00612 (56.0%) | loss: 3.242828 | lrm: 0.98 | dt: 264ms | tok/sec: 495,905 | mfu: 10.7% | epoch: 1 | remaining: 132s    
step 00613 (56.1%) | loss: 3.243329 | lrm: 0.97 | dt: 266ms | tok/sec: 493,156 | mfu: 10.7% | epoch: 1 | remaining: 131s    
step 00614 (56.2%) | loss: 3.244026 | lrm: 0.97 | dt: 267ms | tok/sec: 491,783 | mfu: 10.6% | epoch: 1 | remaining: 131s    
step 00615 (56.3%) | loss: 3.244941 | lrm: 0.97 | dt: 266ms | tok/sec: 492,506 | mfu: 10.6% | epoch: 1 | remaining: 131s    
step 00616 (56.4%) | loss: 3.253849 | lrm: 0.97 | dt: 266ms | tok/sec: 493,560 | mfu: 10.7% | epoch: 1 | remaining: 131s    
step 00617 (56.5%) | loss: 3.254845 | lrm: 0.97 | dt: 266ms | tok/sec: 492,792 | mfu: 10.7% | epoch: 1 | remaining: 130s    
step 00618 (56.6%) | loss: 3.257745 | lrm: 0.97 | dt: 266ms | tok/sec: 493,478 | mfu: 10.7% | epoch: 1 | remaining: 130s    
step 00619 (56.7%) | loss: 3.255729 | lrm: 0.96 | dt: 266ms | tok/sec: 492,298 | mfu: 10.6% | epoch: 1 | remaining: 130s    
step 00620 (56.7%) | loss: 3.253760 | lrm: 0.96 | dt: 266ms | tok/sec: 492,445 | mfu: 10.6% | epoch: 1 | remaining: 129s    
step 00621 (56.8%) | loss: 3.256823 | lrm: 0.96 | dt: 266ms | tok/sec: 492,988 | mfu: 10.7% | epoch: 1 | remaining: 129s    
step 00622 (56.9%) | loss: 3.251596 | lrm: 0.96 | dt: 266ms | tok/sec: 493,308 | mfu: 10.7% | epoch: 1 | remaining: 129s    
step 00623 (57.0%) | loss: 3.249755 | lrm: 0.96 | dt: 266ms | tok/sec: 492,275 | mfu: 10.6% | epoch: 1 | remaining: 129s    
step 00624 (57.1%) | loss: 3.244325 | lrm: 0.95 | dt: 266ms | tok/sec: 492,561 | mfu: 10.6% | epoch: 1 | remaining: 128s    
step 00625 (57.2%) | loss: 3.244458 | lrm: 0.95 | dt: 266ms | tok/sec: 492,345 | mfu: 10.6% | epoch: 1 | remaining: 128s    
step 00626 (57.3%) | loss: 3.242429 | lrm: 0.95 | dt: 266ms | tok/sec: 492,680 | mfu: 10.7% | epoch: 1 | remaining: 128s    
step 00627 (57.4%) | loss: 3.240403 | lrm: 0.95 | dt: 265ms | tok/sec: 493,748 | mfu: 10.7% | epoch: 1 | remaining: 128s    
step 00628 (57.5%) | loss: 3.235772 | lrm: 0.95 | dt: 264ms | tok/sec: 496,961 | mfu: 10.7% | epoch: 1 | remaining: 127s    
